MCDA Method,,,,,,,,,,,,
,,,,,,,,,,,,
Objective,To evaluate the best MHE required for specific application,,,,,,,,,,,
,,Manual Hand Cart/Trolley (4wheel),Powered Cart,Stock Chaser,Tugger Cart,Forklift,Manual Pallet Jack,Electric Pallet Jack,Reach Trucks- Narrow- 14m Height reach,AGV,Pallet Stacker,
Criteria,Weightage,,,,,,,,,,,
"Distance between Source and Destination, ft",10,,,,,,,,,,,
"Aisle width, ft",15,,,,,,,,,,,
"Turning Radius, ft",10,,,,,,,,,,,
Floor Condition,2,,,,,,,,,,,
Material Type,15,,,,,,,,,,,
"Maximum weight, lbs",15,,,,,,,,,,,
No. of trips per shift,5,,,,,,,,,,,
"Vertical height if any, ft",8,,,,,,,,,,,
"Operation Cost, $",5,2,2,4,3,1,2,2,2,1,2,
"Maintainance Cost, $",5,4,2,4,2,2,4,2,2,1,2,
Cost,10,9,7,4,3,2,8,6,6,1,5,
,100,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,3,,,,,,,,,
,,,1,,,,,,,,,
,,,3,,,,,,,,,
